join_date,department_name,emp_name,total_salary,salary,bonus
2023-08-23,Sales,Employee_589,77452,54992,22460.0
2023-08-22,Sales,Employee_7160,96088,75741,20347.0
2023-08-15,Sales,Employee_2780,117792,93203,24589.0
2023-08-15,Sales,Employee_230,73342,57312,16030.0
2023-08-12,Sales,Employee_8695,109382,85162,24220.0
2023-08-11,Sales,Employee_5640,62863,35176,27687.0
2023-07-29,Sales,Employee_2112,66027,38988,27039.0
2023-07-26,Sales,Employee_2634,59715,49290,10425.0
2023-07-24,Sales,Employee_2892,96455,78709,17746.0
2023-07-22,Sales,Employee_2803,87540,64133,23407.0
2023-07-21,Sales,Employee_4690,61333,40991,20342.0
2023-07-20,Sales,Employee_5715,64778,47421,17357.0
2023-07-17,Sales,Employee_2364,99951,94162,5789.0
2023-07-16,Sales,Employee_1451,86768,79584,7184.0
2023-07-08,Sales,Employee_3980,104889,79545,25344.0
2023-06-20,Sales,Employee_108,45590,36895,8695.0
2023-06-18,Sales,Employee_578,58603,51961,6642.0
2023-06-16,Sales,Employee_1865,106092,89228,16864.0
2023-06-14,Sales,Employee_7183,98767,81457,17310.0
2023-06-09,Sales,Employee_7961,90925,76257,14668.0
2023-06-09,Sales,Employee_4937,66710,60131,6579.0
2023-06-02,Sales,Employee_2605,75494,50098,25396.0
2023-06-02,Sales,Employee_2274,44456,34213,10243.0
2023-05-31,Sales,Employee_7224,90830,65851,24979.0
2023-05-30,Sales,Employee_4331,88499,68180,20319.0
2023-05-30,Sales,Employee_6824,51791,33514,18277.0
2023-05-22,Sales,Employee_4361,91004,84888,6116.0
2023-05-17,Sales,Employee_6343,52100,45270,6830.0
2023-05-14,Sales,Employee_3663,82433,75099,7334.0
2023-05-10,Sales,Employee_7240,93332,79634,13698.0
2023-05-03,Sales,Employee_2761,50310,35207,15103.0
2023-04-29,Sales,Employee_1878,128209,99838,28371.0
2023-04-23,Sales,Employee_2401,123940,97703,26237.0
2023-04-21,Sales,Employee_7955,94100,68036,26064.0
2023-04-19,Sales,Employee_5251,106290,89551,16739.0
2023-04-18,Sales,Employee_3617,101131,78575,22556.0
2023-04-16,Sales,Employee_4281,117050,94636,22414.0
2023-04-15,Sales,Employee_2835,111756,90873,20883.0
2023-04-10,Sales,Employee_4417,99492,83462,16030.0
2023-04-06,Sales,Employee_4985,90474,61090,29384.0
2023-03-28,Sales,Employee_3356,113505,88542,24963.0
2023-03-27,Sales,Employee_2800,58570,46959,11611.0
2023-03-25,Sales,Employee_9785,59190,53814,5376.0
2023-03-19,Sales,Employee_982,114980,86049,28931.0
2023-03-04,Sales,Employee_816,70884,51017,19867.0
2023-03-01,Sales,Employee_9072,80751,55939,24812.0
2023-02-25,Sales,Employee_4369,119067,90399,28668.0
2023-02-25,Sales,Employee_9892,98191,76215,21976.0
2023-02-24,Sales,Employee_3413,73235,53459,19776.0
2023-02-21,Sales,Employee_59,70894,55575,15319.0
2023-02-20,Sales,Employee_4085,69976,63103,6873.0
2023-02-14,Sales,Employee_8120,107911,97868,10043.0
2023-02-07,Sales,Employee_8062,103288,73634,29654.0
2023-02-07,Sales,Employee_3940,63400,37034,26366.0
2023-02-06,Sales,Employee_6607,60500,37377,23123.0
2023-02-05,Sales,Employee_5211,86184,74893,11291.0
2023-02-04,Sales,Employee_507,98475,88552,9923.0
2023-01-29,Sales,Employee_5579,83686,70376,13310.0
2023-01-28,Sales,Employee_766,82581,56723,25858.0
2023-01-27,Sales,Employee_8540,88333,69579,18754.0
2023-01-26,Sales,Employee_716,87935,72912,15023.0
2023-01-25,Sales,Employee_6221,74780,60268,14512.0
2023-01-23,Sales,Employee_6984,122140,95039,27101.0
2023-01-19,Sales,Employee_2949,101596,84051,17545.0
2023-01-19,Sales,Employee_3742,60485,47330,13155.0
2023-01-18,Sales,Employee_9146,111989,95524,16465.0
2023-01-05,Sales,Employee_2518,98288,70309,27979.0
2023-01-03,Sales,Employee_8680,83671,63808,19863.0
2022-12-31,Sales,Employee_7451,106485,97345,9140.0
2022-12-26,Sales,Employee_9263,80736,57770,22966.0
2022-12-25,Sales,Employee_3271,74042,52593,21449.0
2022-12-25,Sales,Employee_564,52147,45090,7057.0
2022-12-23,Sales,Employee_7836,78565,69883,8682.0
2022-12-23,Sales,Employee_1776,59331,43102,16229.0
2022-12-22,Sales,Employee_3526,59026,53358,5668.0
2022-12-20,Sales,Employee_369,94882,87995,6887.0
2022-12-18,Sales,Employee_3915,95411,85569,9842.0
2022-12-12,Sales,Employee_5703,65944,56657,9287.0
2022-12-05,Sales,Employee_6777,85323,78960,6363.0
2022-12-02,Sales,Employee_8153,82283,75015,7268.0
2022-11-30,Sales,Employee_6558,73191,59039,14152.0
2022-11-25,Sales,Employee_126,62085,35849,26236.0
2022-11-15,Sales,Employee_2056,97117,88951,8166.0
2022-11-15,Sales,Employee_1190,71690,46444,25246.0
2022-11-14,Sales,Employee_8602,49768,41027,8741.0
2022-11-13,Sales,Employee_8777,81157,64320,16837.0
2022-11-01,Sales,Employee_7297,74352,61716,12636.0
2022-11-01,Sales,Employee_4673,60462,36172,24290.0
2022-10-20,Sales,Employee_1116,115005,88630,26375.0
2022-10-19,Sales,Employee_6829,110618,89207,21411.0
2022-10-12,Sales,Employee_4291,82494,67787,14707.0
2022-10-11,Sales,Employee_4924,89536,78260,11276.0
2022-10-01,Sales,Employee_8697,104386,96917,7469.0
2022-09-28,Sales,Employee_7997,58039,42416,15623.0
2022-09-28,Sales,Employee_1715,48838,31159,17679.0
2022-09-22,Sales,Employee_5025,44688,35663,9025.0
2022-09-17,Sales,Employee_9352,66729,49668,17061.0
2022-09-10,Sales,Employee_7461,93256,72789,20467.0
2022-09-10,Sales,Employee_1616,87905,68938,18967.0
2022-09-09,Sales,Employee_1413,75517,64510,11007.0
2022-09-07,Sales,Employee_4109,97608,85113,12495.0
2022-09-06,Sales,Employee_8470,109592,96798,12794.0
2022-09-05,Sales,Employee_1099,112233,95604,16629.0
2022-09-04,Sales,Employee_6129,101928,93996,7932.0
2022-09-03,Sales,Employee_7927,119859,96453,23406.0
2022-08-31,Sales,Employee_5317,45804,31552,14252.0
2022-08-31,Sales,Employee_2765,47542,30420,17122.0
2022-08-30,Sales,Employee_8371,59369,49749,9620.0
2022-08-26,Sales,Employee_249,47997,42872,5125.0
2022-08-20,Sales,Employee_4048,71395,56221,15174.0
2022-08-17,Sales,Employee_6243,47748,30029,17719.0
2022-08-10,Sales,Employee_9752,93459,67206,26253.0
2022-08-10,Sales,Employee_674,56483,35900,20583.0
2022-08-09,Sales,Employee_9573,125457,98637,26820.0
2022-08-08,Sales,Employee_1712,78052,55280,22772.0
2022-08-06,Sales,Employee_7057,95861,87782,8079.0
2022-07-31,Sales,Employee_9347,53931,33658,20273.0
2022-07-23,Sales,Employee_6500,58586,37824,20762.0
2022-07-19,Sales,Employee_8514,82989,73334,9655.0
2022-07-15,Sales,Employee_6776,75107,67310,7797.0
2022-07-15,Sales,Employee_6045,72670,47752,24918.0
2022-07-08,Sales,Employee_3150,95304,70576,24728.0
2022-07-07,Sales,Employee_881,46673,35728,10945.0
2022-07-03,Sales,Employee_8917,94709,68865,25844.0
2022-07-03,Sales,Employee_8391,62884,38079,24805.0
2022-06-30,Sales,Employee_8495,67615,52236,15379.0
2022-06-30,Sales,Employee_8797,42700,33051,9649.0
2022-06-29,Sales,Employee_751,62952,56401,6551.0
2022-06-24,Sales,Employee_1371,116491,87955,28536.0
2022-06-24,Sales,Employee_5906,109521,80808,28713.0
2022-06-17,Sales,Employee_1987,66601,49923,16678.0
2022-06-10,Sales,Employee_4257,73195,53952,19243.0
2022-06-08,Sales,Employee_6018,101587,74078,27509.0
2022-06-02,Sales,Employee_5938,62187,46639,15548.0
2022-05-29,Sales,Employee_2301,107692,98947,8745.0
2022-05-29,Sales,Employee_2021,91566,78302,13264.0
2022-05-26,Sales,Employee_1956,63547,41408,22139.0
2022-05-25,Sales,Employee_9328,44440,32991,11449.0
2022-05-22,Sales,Employee_284,89063,81087,7976.0
2022-05-07,Sales,Employee_3267,78989,68599,10390.0
2022-04-28,Sales,Employee_8738,118773,88967,29806.0
2022-04-26,Sales,Employee_8346,102552,91720,10832.0
2022-04-23,Sales,Employee_9889,62370,52623,9747.0
2022-04-22,Sales,Employee_9239,83789,78745,5044.0
2022-04-08,Sales,Employee_7213,92901,69865,23036.0
2022-03-31,Sales,Employee_5973,56689,39832,16857.0
2022-03-30,Sales,Employee_8290,105429,79060,26369.0
2022-03-24,Sales,Employee_5151,48478,43341,5137.0
2022-03-11,Sales,Employee_9082,106456,88103,18353.0
2022-03-10,Sales,Employee_2927,58949,46945,12004.0
2022-03-05,Sales,Employee_9078,68777,59870,8907.0
2022-03-02,Sales,Employee_630,67953,44388,23565.0
2022-02-16,Sales,Employee_8683,111465,86625,24840.0
2022-02-13,Sales,Employee_5119,85046,80000,5046.0
2022-02-09,Sales,Employee_1002,95800,75706,20094.0
2022-02-08,Sales,Employee_3157,72608,58087,14521.0
2022-01-28,Sales,Employee_6538,78368,57571,20797.0
2022-01-27,Sales,Employee_1542,118216,94079,24137.0
2022-01-27,Sales,Employee_7024,89800,75797,14003.0
2022-01-26,Sales,Employee_5295,63041,44772,18269.0
2022-01-16,Sales,Employee_7185,115075,89151,25924.0
2022-01-12,Sales,Employee_1677,110802,95252,15550.0
2022-01-11,Sales,Employee_4686,50825,39449,11376.0
2022-01-08,Sales,Employee_9321,81527,72707,8820.0
2022-01-07,Sales,Employee_5105,116795,90047,26748.0
2022-01-03,Sales,Employee_2203,102899,92235,10664.0
2021-12-26,Sales,Employee_6366,69655,51873,17782.0
2021-12-26,Sales,Employee_7819,52381,30056,22325.0
2021-12-24,Sales,Employee_1419,111952,83242,28710.0
2021-12-23,Sales,Employee_1175,115854,95435,20419.0
2021-12-22,Sales,Employee_5454,71604,42003,29601.0
2021-12-18,Sales,Employee_8829,56738,32843,23895.0
2021-12-14,Sales,Employee_1816,105117,82062,23055.0
2021-12-06,Sales,Employee_6867,76880,58869,18011.0
2021-12-04,Sales,Employee_66,76129,70352,5777.0
2021-12-04,Sales,Employee_2614,59175,49674,9501.0
2021-11-30,Sales,Employee_5365,107191,85178,22013.0
2021-11-28,Sales,Employee_8755,76289,68682,7607.0
2021-11-20,Sales,Employee_4614,82265,53178,29087.0
2021-11-19,Sales,Employee_1300,76449,47907,28542.0
2021-11-18,Sales,Employee_733,76371,67096,9275.0
2021-11-16,Sales,Employee_3875,47931,31927,16004.0
2021-11-09,Sales,Employee_7163,61407,35834,25573.0
2021-11-05,Sales,Employee_3012,69908,60579,9329.0
2021-11-04,Sales,Employee_2037,92087,80374,11713.0
2021-10-30,Sales,Employee_8255,102143,95322,6821.0
2021-10-29,Sales,Employee_5756,98593,78504,20089.0
2021-10-29,Sales,Employee_6158,52375,33665,18710.0
2021-10-26,Sales,Employee_2472,99432,92679,6753.0
2021-10-26,Sales,Employee_4712,67295,42227,25068.0
2021-10-22,Sales,Employee_5265,77817,50781,27036.0
2021-10-14,Sales,Employee_4776,82885,61734,21151.0
2021-10-14,Sales,Employee_7974,57552,35474,22078.0
2021-10-13,Sales,Employee_4442,37881,32853,5028.0
2021-10-11,Sales,Employee_7138,77266,69288,7978.0
2021-10-11,Sales,Employee_7745,52368,40932,11436.0
2021-10-10,Sales,Employee_2468,58695,32364,26331.0
2021-10-09,Sales,Employee_5032,82099,66104,15995.0
2021-10-09,Sales,Employee_2864,88443,60825,27618.0
2021-09-26,Sales,Employee_2368,59354,50143,9211.0
2021-09-21,Sales,Employee_975,107419,81119,26300.0
2021-09-12,Sales,Employee_8054,112616,96137,16479.0
2021-09-08,Sales,Employee_2420,102052,94264,7788.0
2021-08-26,Sales,Employee_2656,90400,80216,10184.0
2021-08-25,Sales,Employee_988,83618,70315,13303.0
2021-08-12,Sales,Employee_9165,101582,79365,22217.0
2021-07-31,Sales,Employee_1944,100032,71556,28476.0
2021-07-30,Sales,Employee_2256,105586,99253,6333.0
2021-07-26,Sales,Employee_1765,80557,66044,14513.0
2021-07-24,Sales,Employee_372,51620,46076,5544.0
2021-07-23,Sales,Employee_5340,60585,52347,8238.0
2021-07-19,Sales,Employee_3022,116652,93518,23134.0
2021-07-17,Sales,Employee_2294,69645,62699,6946.0
2021-07-17,Sales,Employee_8025,71202,46608,24594.0
2021-07-09,Sales,Employee_5957,51349,39967,11382.0
2021-07-04,Sales,Employee_6171,117729,93073,24656.0
2021-07-03,Sales,Employee_3701,58290,31833,26457.0
2021-07-02,Sales,Employee_6393,52932,47401,5531.0
2021-06-30,Sales,Employee_8097,98125,85186,12939.0
2021-06-30,Sales,Employee_3455,106542,82383,24159.0
2021-06-29,Sales,Employee_6190,71320,48773,22547.0
2021-06-19,Sales,Employee_1164,86760,59251,27509.0
2021-06-17,Sales,Employee_5178,98684,75608,23076.0
2021-06-16,Sales,Employee_627,106512,87981,18531.0
2021-06-16,Sales,Employee_7076,67755,38712,29043.0
2021-06-03,Sales,Employee_1058,66515,36798,29717.0
2021-06-02,Sales,Employee_3590,85419,61419,24000.0
2021-06-01,Sales,Employee_3024,81444,65081,16363.0
2021-05-30,Sales,Employee_2418,57499,42926,14573.0
2021-05-25,Sales,Employee_2682,100019,72850,27169.0
2021-05-24,Sales,Employee_5367,80433,50828,29605.0
2021-05-22,Sales,Employee_1369,51215,34435,16780.0
2021-05-20,Sales,Employee_6248,85630,62162,23468.0
2021-05-18,Sales,Employee_2534,67538,61574,5964.0
2021-05-18,Sales,Employee_455,75045,50893,24152.0
2021-05-12,Sales,Employee_3815,89085,79647,9438.0
2021-05-05,Sales,Employee_2604,97397,70832,26565.0
2021-04-30,Sales,Employee_1933,37325,30189,7136.0
2021-04-29,Sales,Employee_2716,57245,52036,5209.0
2021-04-26,Sales,Employee_3899,39167,33255,5912.0
2021-04-22,Sales,Employee_489,55037,37288,17749.0
2021-04-17,Sales,Employee_9741,52093,42521,9572.0
2021-04-16,Sales,Employee_6253,105070,82971,22099.0
2021-04-16,Sales,Employee_8997,67304,39593,27711.0
2021-04-11,Sales,Employee_894,74500,53089,21411.0
2021-04-11,Sales,Employee_9740,53652,48408,5244.0
2021-04-10,Sales,Employee_3417,84843,76384,8459.0
2021-04-06,Sales,Employee_5017,61074,41809,19265.0
2021-04-06,Sales,Employee_4844,63829,39216,24613.0
2021-03-31,Sales,Employee_858,60813,49369,11444.0
2021-03-29,Sales,Employee_911,99024,85744,13280.0
2021-03-24,Sales,Employee_8309,77625,57003,20622.0
2021-03-19,Sales,Employee_3310,59066,52119,6947.0
2021-03-18,Sales,Employee_79,101181,82268,18913.0
2021-03-16,Sales,Employee_8150,76859,67867,8992.0
2021-03-12,Sales,Employee_8628,98353,82485,15868.0
2021-03-08,Sales,Employee_5850,113487,94136,19351.0
2021-03-08,Sales,Employee_5747,74283,58401,15882.0
2021-03-06,Sales,Employee_7918,68444,39530,28914.0
2021-02-19,Sales,Employee_5084,52206,31861,20345.0
2021-02-17,Sales,Employee_6239,100093,90109,9984.0
2021-02-05,Sales,Employee_8970,75125,50760,24365.0
2021-02-03,Sales,Employee_3019,41645,30975,10670.0
2021-02-02,Sales,Employee_5292,72647,46585,26062.0
2021-02-01,Sales,Employee_544,109641,89066,20575.0
2021-01-25,Sales,Employee_6991,82932,60936,21996.0
2021-01-21,Sales,Employee_7552,95436,86655,8781.0
2021-01-20,Sales,Employee_7494,87148,63033,24115.0
2021-01-15,Sales,Employee_540,62072,47465,14607.0
2021-01-13,Sales,Employee_5051,50840,39017,11823.0
2021-01-10,Sales,Employee_6088,97766,81342,16424.0
2021-01-09,Sales,Employee_5443,75917,62314,13603.0
2020-12-27,Sales,Employee_1697,104986,88770,16216.0
2020-12-26,Sales,Employee_4026,85382,68872,16510.0
2020-12-24,Sales,Employee_8234,50218,36228,13990.0
2020-12-19,Sales,Employee_340,67974,58859,9115.0
2020-12-15,Sales,Employee_5671,100427,95167,5260.0
2020-12-09,Sales,Employee_624,116740,99541,17199.0
2020-12-08,Sales,Employee_7885,66427,57785,8642.0
2020-12-06,Sales,Employee_8138,71489,55692,15797.0
2020-12-05,Sales,Employee_9896,64653,59157,5496.0
2020-12-04,Sales,Employee_3046,69653,54866,14787.0
2020-12-04,Sales,Employee_7354,65979,54529,11450.0
2020-11-29,Sales,Employee_2648,71799,53267,18532.0
2020-11-25,Sales,Employee_3732,64293,58394,5899.0
2020-11-23,Sales,Employee_3334,71338,62632,8706.0
2020-11-21,Sales,Employee_2529,60092,43803,16289.0
2020-11-14,Sales,Employee_1654,124262,95211,29051.0
2020-11-14,Sales,Employee_7831,84569,70194,14375.0
2020-11-12,Sales,Employee_569,101930,83238,18692.0
2020-11-12,Sales,Employee_8043,94471,83219,11252.0
2020-11-12,Sales,Employee_6254,48069,37739,10330.0
2020-11-12,Sales,Employee_5034,46184,32534,13650.0
2020-11-08,Sales,Employee_43,96164,73998,22166.0
2020-11-07,Sales,Employee_5662,97785,76741,21044.0
2020-11-05,Sales,Employee_1516,113124,97695,15429.0
2020-10-22,Sales,Employee_7769,89547,60475,29072.0
2020-10-17,Sales,Employee_2387,61112,32808,28304.0
2020-10-14,Sales,Employee_9891,55062,35973,19089.0
2020-10-12,Sales,Employee_5035,118820,97762,21058.0
2020-10-10,Sales,Employee_2068,56156,33582,22574.0
2020-10-06,Sales,Employee_6106,86328,70409,15919.0
2020-10-06,Sales,Employee_5195,73710,54490,19220.0
2020-09-29,Sales,Employee_4519,78996,60374,18622.0
2020-09-28,Sales,Employee_6762,80435,69103,11332.0
2020-09-24,Sales,Employee_5033,78949,69137,9812.0
2020-09-24,Sales,Employee_3904,89781,67826,21955.0
2020-09-24,Sales,Employee_6918,71058,53138,17920.0
2020-09-20,Sales,Employee_267,115243,91585,23658.0
2020-09-20,Sales,Employee_210,82427,62121,20306.0
2020-09-01,Sales,Employee_4372,117666,90692,26974.0
2020-08-28,Sales,Employee_7787,105319,78093,27226.0
2020-08-27,Sales,Employee_430,76341,59236,17105.0
2020-08-27,Sales,Employee_9676,79164,55030,24134.0
2020-08-24,Sales,Employee_6286,92765,86865,5900.0
2020-08-24,Sales,Employee_3519,54923,42039,12884.0
2020-08-23,Sales,Employee_788,87357,72873,14484.0
2020-08-23,Sales,Employee_1519,81131,58491,22640.0
2020-08-20,Sales,Employee_836,45313,36107,9206.0
2020-08-18,Sales,Employee_6647,72569,61288,11281.0
2020-08-13,Sales,Employee_7179,113163,97797,15366.0
2020-08-10,Sales,Employee_170,117231,93401,23830.0
2020-08-07,Sales,Employee_8694,86848,76923,9925.0
2020-08-05,Sales,Employee_3438,126137,96285,29852.0
2020-07-25,Sales,Employee_2693,122271,95696,26575.0
2020-07-23,Sales,Employee_8103,109139,97082,12057.0
2020-07-21,Sales,Employee_1051,51726,44760,6966.0
2020-07-12,Sales,Employee_2353,108589,91810,16779.0
2020-07-11,Sales,Employee_5917,51279,41333,9946.0
2020-07-10,Sales,Employee_7447,115702,91604,24098.0
